Season,Phase,Round,Gamecode,localTeam.offenseStats.valuation.rank,localTeam.offenseStats.valuation.value,localTeam.offenseStats.score.rank,localTeam.offenseStats.score.value,localTeam.offenseStats.fieldGoals2Percent.rank,localTeam.offenseStats.fieldGoals2Percent.value,localTeam.offenseStats.fieldGoals3Percent.rank,localTeam.offenseStats.fieldGoals3Percent.value,localTeam.offenseStats.freeThrowsPercent.rank,localTeam.offenseStats.freeThrowsPercent.value,localTeam.offenseStats.defensiveRebounds.rank,localTeam.offenseStats.defensiveRebounds.value,localTeam.offenseStats.offensiveRebounds.rank,localTeam.offenseStats.offensiveRebounds.value,localTeam.offenseStats.totalRebounds.rank,localTeam.offenseStats.totalRebounds.value,localTeam.offenseStats.assists.rank,localTeam.offenseStats.assists.value,localTeam.offenseStats.steals.rank,localTeam.offenseStats.steals.value,localTeam.offenseStats.blocks.rank,localTeam.offenseStats.blocks.value,localTeam.offenseStats.turnovers.rank,localTeam.offenseStats.turnovers.value,localTeam.defenseStats.valuation.rank,localTeam.defenseStats.valuation.value,localTeam.defenseStats.score.rank,localTeam.defenseStats.score.value,localTeam.defenseStats.fieldGoals2Percent.rank,localTeam.defenseStats.fieldGoals2Percent.value,localTeam.defenseStats.fieldGoals3Percent.rank,localTeam.defenseStats.fieldGoals3Percent.value,localTeam.defenseStats.freeThrowsPercent.rank,localTeam.defenseStats.freeThrowsPercent.value,localTeam.defenseStats.defensiveRebounds.rank,localTeam.defenseStats.defensiveRebounds.value,localTeam.defenseStats.offensiveRebounds.rank,localTeam.defenseStats.offensiveRebounds.value,localTeam.defenseStats.totalRebounds.rank,localTeam.defenseStats.totalRebounds.value,localTeam.defenseStats.assists.rank,localTeam.defenseStats.assists.value,localTeam.defenseStats.steals.rank,localTeam.defenseStats.steals.value,localTeam.defenseStats.blocks.rank,localTeam.defenseStats.blocks.value,localTeam.defenseStats.turnovers.rank,localTeam.defenseStats.turnovers.value,roadTeam.offenseStats.valuation.rank,roadTeam.offenseStats.valuation.value,roadTeam.offenseStats.score.rank,roadTeam.offenseStats.score.value,roadTeam.offenseStats.fieldGoals2Percent.rank,roadTeam.offenseStats.fieldGoals2Percent.value,roadTeam.offenseStats.fieldGoals3Percent.rank,roadTeam.offenseStats.fieldGoals3Percent.value,roadTeam.offenseStats.freeThrowsPercent.rank,roadTeam.offenseStats.freeThrowsPercent.value,roadTeam.offenseStats.defensiveRebounds.rank,roadTeam.offenseStats.defensiveRebounds.value,roadTeam.offenseStats.offensiveRebounds.rank,roadTeam.offenseStats.offensiveRebounds.value,roadTeam.offenseStats.totalRebounds.rank,roadTeam.offenseStats.totalRebounds.value,roadTeam.offenseStats.assists.rank,roadTeam.offenseStats.assists.value,roadTeam.offenseStats.steals.rank,roadTeam.offenseStats.steals.value,roadTeam.offenseStats.blocks.rank,roadTeam.offenseStats.blocks.value,roadTeam.offenseStats.turnovers.rank,roadTeam.offenseStats.turnovers.value,roadTeam.defenseStats.valuation.rank,roadTeam.defenseStats.valuation.value,roadTeam.defenseStats.score.rank,roadTeam.defenseStats.score.value,roadTeam.defenseStats.fieldGoals2Percent.rank,roadTeam.defenseStats.fieldGoals2Percent.value,roadTeam.defenseStats.fieldGoals3Percent.rank,roadTeam.defenseStats.fieldGoals3Percent.value,roadTeam.defenseStats.freeThrowsPercent.rank,roadTeam.defenseStats.freeThrowsPercent.value,roadTeam.defenseStats.defensiveRebounds.rank,roadTeam.defenseStats.defensiveRebounds.value,roadTeam.defenseStats.offensiveRebounds.rank,roadTeam.defenseStats.offensiveRebounds.value,roadTeam.defenseStats.totalRebounds.rank,roadTeam.defenseStats.totalRebounds.value,roadTeam.defenseStats.assists.rank,roadTeam.defenseStats.assists.value,roadTeam.defenseStats.steals.rank,roadTeam.defenseStats.steals.value,roadTeam.defenseStats.blocks.rank,roadTeam.defenseStats.blocks.value,roadTeam.defenseStats.turnovers.rank,roadTeam.defenseStats.turnovers.value
2024,RS,9,77,1,106.05,1,87.7,2,0.5945205479452055,1,0.40160642570281124,16,0.7371134020618557,2,24.55,9,10.35,6,34.9,5,19.1,7,6.75,3,2.95,7,11.95,3,86.55,8,82.15,5,0.5428954423592494,15,0.37404580152671757,16,0.7928802588996764,2,21.2,4,9.8,1,31.0,14,19.25,15,7.2,5,2.05,15,11.45,10,91.0,10,83.5,12,0.5455594002306805,14,0.33254716981132076,10,0.7698209718670077,15,22.1,2,12.65,7,34.75,10,18.3,12,5.95,16,1.65,12,12.7,16,101.95,17,89.05,18,0.6080729166666666,13,0.37358490566037733,4,0.7574850299401198,4,22.3,12,11.0,7,33.3,18,20.45,13,6.85,14,2.8,11,12.2
2024,RS,9,78,14,86.8,17,78.5,14,0.5358090185676393,17,0.318359375,11,0.7690140845070422,4,24.25,3,12.35,1,36.6,15,16.5,18,5.05,3,2.95,10,12.1,8,88.25,5,80.85,2,0.5195822454308094,17,0.38104089219330856,17,0.7953667953667953,6,22.75,10,10.8,8,33.55,12,18.4,4,5.8,16,3.1,18,10.9,7,95.75,9,83.6,3,0.5881578947368421,10,0.36324786324786323,3,0.7928994082840237,11,22.65,13,10.05,12,32.7,11,18.0,4,6.85,1,3.85,11,12.35,4,86.8,10,82.4,3,0.5221476510067115,18,0.38762886597938145,11,0.7786259541984732,1,20.5,13,11.15,2,31.65,9,18.2,5,5.95,9,2.2,7,12.55
2024,RS,9,79,5,98.2,8,84.55,1,0.6059701492537314,13,0.34071550255536626,5,0.7859154929577464,1,26.95,16,9.65,1,36.6,4,19.2,15,5.75,6,2.9,15,13.15,1,82.55,4,80.7,1,0.5121621621621621,6,0.3505338078291815,14,0.7910447761194029,11,23.6,3,9.6,6,33.2,2,16.05,5,5.95,5,2.05,16,11.25,12,88.25,13,81.25,13,0.5431606905710491,16,0.3225152129817444,4,0.7913669064748201,17,21.65,12,10.2,17,31.85,9,18.7,15,5.75,7,2.5,4,11.5,13,94.7,14,85.05,8,0.5483028720626631,12,0.37265917602996257,1,0.7353760445682451,15,24.45,18,12.7,17,37.15,8,18.05,11,6.25,11,2.4,10,12.25
2024,RS,9,80,9,91.5,12,82.6,10,0.5551075268817204,11,0.36217303822937624,7,0.7771739130434783,18,21.2,8,10.4,18,31.6,13,17.85,2,7.25,2,3.0,3,11.0,11,91.05,7,81.65,10,0.554531490015361,9,0.36589698046181174,15,0.7918918918918919,6,22.75,16,11.7,14,34.45,10,18.35,5,5.95,13,2.55,4,13.15,6,98.05,5,86.2,7,0.5653235653235653,3,0.3815261044176707,9,0.7702702702702703,6,24.05,14,10.0,9,34.05,2,20.75,1,7.85,8,2.3,6,11.9,12,91.25,12,84.25,14,0.5690834473324213,5,0.33643122676579923,10,0.7769423558897243,11,23.6,11,10.85,14,34.45,1,16.0,8,6.1,3,1.9,2,13.25
2024,RS,9,81,13,87.05263157894737,7,85.15789473684211,16,0.5308641975308642,15,0.3292894280762565,13,0.7611111111111111,7,23.526315789473685,1,12.789473684210526,3,36.31578947368421,17,15.157894736842104,10,6.368421052631579,11,2.263157894736842,2,10.157894736842104,15,96.15789473684211,13,84.57894736842105,6,0.5441176470588235,4,0.3283898305084746,5,0.7627906976744186,18,26.842105263157894,17,12.421052631578947,18,39.26315789473684,6,17.68421052631579,2,5.105263157894737,15,3.0,6,12.842105263157896,18,76.95,18,76.75,17,0.5054773082942097,12,0.3447098976109215,18,0.7275064267352185,8,23.1,5,11.65,7,34.75,18,14.7,11,6.25,15,1.9,14,12.9,2,86.25,1,77.25,7,0.5463623395149786,1,0.3056179775280899,3,0.7510121457489879,16,24.5,5,9.85,13,34.35,3,16.2,9,6.15,7,2.1,13,12.1
2024,RS,10,82,15,85.4,14,80.8,11,0.5466101694915254,4,0.38064516129032255,12,0.7679012345679013,10,22.8,17,9.55,15,32.35,14,17.1,9,6.55,13,2.2,17,14.15,14,95.45,11,83.55,9,0.5487316421895861,7,0.3545816733067729,9,0.7758620689655172,5,22.4,14,11.3,10,33.7,13,19.2,17,7.3,16,3.1,8,12.35,11,90.85,11,82.8,8,0.5587828492392808,5,0.3745173745173745,15,0.7450980392156863,11,22.65,10,10.3,11,32.95,3,20.0,14,5.8,14,1.95,7,11.95,9,90.15,3,80.4,13,0.5676392572944297,2,0.3093812375249501,8,0.7735849056603774,6,22.75,15,11.5,12,34.25,4,16.9,14,7.0,12,2.5,12,12.15
2024,RS,10,83,14,86.8,17,78.5,14,0.5358090185676393,17,0.318359375,11,0.7690140845070422,4,24.25,3,12.35,1,36.6,15,16.5,18,5.05,3,2.95,10,12.1,8,88.25,5,80.85,2,0.5195822454308094,17,0.38104089219330856,17,0.7953667953667953,6,22.75,10,10.8,8,33.55,12,18.4,4,5.8,16,3.1,18,10.9,3,101.15,2,87.5,6,0.5709046454767727,9,0.36622807017543857,14,0.7608695652173914,13,22.6,14,10.0,13,32.6,7,19.0,3,7.1,3,2.95,1,10.15,5,87.25,9,82.25,11,0.5595075239398085,10,0.3682092555331992,6,0.7679558011049724,10,23.3,6,10.45,11,33.75,7,17.8,3,5.65,7,2.1,1,13.75
2024,RS,10,84,8,91.7,6,85.6,4,0.58796992481203,8,0.3679092382495948,2,0.8383838383838383,14,22.15,10,10.3,14,32.45,8,18.9,8,6.65,18,1.25,16,13.5,17,102.95,16,88.2,17,0.5965834428383706,16,0.37714285714285717,2,0.7359550561797753,9,22.85,9,10.75,9,33.6,16,19.8,16,7.25,10,2.35,14,12.0,17,81.65,15,79.55,9,0.5566265060240964,18,0.3021276595744681,17,0.7325227963525835,3,24.4,6,11.0,5,35.4,5,19.1,12,5.95,8,2.3,18,15.7,18,108.85,18,91.45,16,0.5832187070151307,14,0.37372013651877134,13,0.784503631961259,17,24.55,7,10.5,16,35.05,17,20.3,18,9.05,18,3.2,8,12.35
2024,RS,10,85,5,98.2,8,84.55,1,0.6059701492537314,13,0.34071550255536626,5,0.7859154929577464,1,26.95,16,9.65,1,36.6,4,19.2,15,5.75,6,2.9,15,13.15,1,82.55,4,80.7,1,0.5121621621621621,6,0.3505338078291815,14,0.7910447761194029,11,23.6,3,9.6,6,33.2,2,16.05,5,5.95,5,2.05,16,11.25,7,95.75,9,83.6,3,0.5881578947368421,10,0.36324786324786323,3,0.7928994082840237,11,22.65,13,10.05,12,32.7,11,18.0,4,6.85,1,3.85,11,12.35,4,86.8,10,82.4,3,0.5221476510067115,18,0.38762886597938145,11,0.7786259541984732,1,20.5,13,11.15,2,31.65,9,18.2,5,5.95,9,2.2,7,12.55
2024,RS,10,86,10,91.0,10,83.5,12,0.5455594002306805,14,0.33254716981132076,10,0.7698209718670077,15,22.1,2,12.65,7,34.75,10,18.3,12,5.95,16,1.65,12,12.7,16,101.95,17,89.05,18,0.6080729166666666,13,0.37358490566037733,4,0.7574850299401198,4,22.3,12,11.0,7,33.3,18,20.45,13,6.85,14,2.8,11,12.2,2,102.85,4,86.9,5,0.5834522111269614,6,0.37333333333333335,8,0.7738927738927739,16,22.05,7,10.95,10,33.0,1,21.4,6,6.8,8,2.3,5,11.85,6,87.9,5,80.85,12,0.562585969738652,11,0.3683168316831683,7,0.7724358974358975,3,21.9,8,10.55,3,32.45,15,19.6,12,6.4,1,1.75,2,13.25
2024,RS,10,87,18,76.95,18,76.75,17,0.5054773082942097,12,0.3447098976109215,18,0.7275064267352185,8,23.1,5,11.65,7,34.75,18,14.7,11,6.25,15,1.9,14,12.9,2,86.25,1,77.25,7,0.5463623395149786,1,0.3056179775280899,3,0.7510121457489879,16,24.5,5,9.85,13,34.35,3,16.2,9,6.15,7,2.1,13,12.1,16,84.0,16,79.0,18,0.49612403100775193,7,0.37084870848708484,6,0.7818181818181819,5,24.105263157894736,4,11.736842105263158,4,35.8421052631579,16,16.0,17,5.7368421052631575,11,2.263157894736842,13,12.789473684210526,7,87.94736842105263,2,79.15789473684211,4,0.5425101214574899,3,0.32779097387173395,12,0.7835616438356164,14,23.842105263157894,1,9.105263157894736,5,32.94736842105263,5,17.31578947368421,10,6.157894736842105,2,1.894736842105263,17,11.157894736842104
2024,RS,10,88,6,98.05,5,86.2,7,0.5653235653235653,3,0.3815261044176707,9,0.7702702702702703,6,24.05,14,10.0,9,34.05,2,20.75,1,7.85,8,2.3,6,11.9,12,91.25,12,84.25,14,0.5690834473324213,5,0.33643122676579923,10,0.7769423558897243,11,23.6,11,10.85,14,34.45,1,16.0,8,6.1,3,1.9,2,13.25,13,87.05263157894737,7,85.15789473684211,16,0.5308641975308642,15,0.3292894280762565,13,0.7611111111111111,7,23.526315789473685,1,12.789473684210526,3,36.31578947368421,17,15.157894736842104,10,6.368421052631579,11,2.263157894736842,2,10.157894736842104,15,96.15789473684211,13,84.57894736842105,6,0.5441176470588235,4,0.3283898305084746,5,0.7627906976744186,18,26.842105263157894,17,12.421052631578947,18,39.26315789473684,6,17.68421052631579,2,5.105263157894737,15,3.0,6,12.842105263157896
2024,RS,10,89,9,91.5,12,82.6,10,0.5551075268817204,11,0.36217303822937624,7,0.7771739130434783,18,21.2,8,10.4,18,31.6,13,17.85,2,7.25,2,3.0,3,11.0,11,91.05,7,81.65,10,0.554531490015361,9,0.36589698046181174,15,0.7918918918918919,6,22.75,16,11.7,14,34.45,10,18.35,5,5.95,13,2.55,4,13.15,4,98.65,3,87.1,15,0.5322128851540616,2,0.39728682170542634,1,0.8398169336384439,9,22.85,18,9.45,16,32.3,12,17.95,4,6.85,17,1.5,7,11.95,10,90.5,15,85.25,15,0.5815899581589958,8,0.3570057581573896,18,0.8067010309278351,13,23.7,2,9.2,4,32.9,10,18.35,1,5.1,4,1.95,5,12.85
2024,RS,10,90,12,88.25,13,81.25,13,0.5431606905710491,16,0.3225152129817444,4,0.7913669064748201,17,21.65,12,10.2,17,31.85,9,18.7,15,5.75,7,2.5,4,11.5,13,94.7,14,85.05,8,0.5483028720626631,12,0.37265917602996257,1,0.7353760445682451,15,24.45,18,12.7,17,37.15,8,18.05,11,6.25,11,2.4,10,12.25,1,106.05,1,87.7,2,0.5945205479452055,1,0.40160642570281124,16,0.7371134020618557,2,24.55,9,10.35,6,34.9,5,19.1,7,6.75,3,2.95,7,11.95,3,86.55,8,82.15,5,0.5428954423592494,15,0.37404580152671757,16,0.7928802588996764,2,21.2,4,9.8,1,31.0,14,19.25,15,7.2,5,2.05,15,11.45
2024,RS,11,91,12,88.25,13,81.25,13,0.5431606905710491,16,0.3225152129817444,4,0.7913669064748201,17,21.65,12,10.2,17,31.85,9,18.7,15,5.75,7,2.5,4,11.5,13,94.7,14,85.05,8,0.5483028720626631,12,0.37265917602996257,1,0.7353760445682451,15,24.45,18,12.7,17,37.15,8,18.05,11,6.25,11,2.4,10,12.25,16,84.0,16,79.0,18,0.49612403100775193,7,0.37084870848708484,6,0.7818181818181819,5,24.105263157894736,4,11.736842105263158,4,35.8421052631579,16,16.0,17,5.7368421052631575,11,2.263157894736842,13,12.789473684210526,7,87.94736842105263,2,79.15789473684211,4,0.5425101214574899,3,0.32779097387173395,12,0.7835616438356164,14,23.842105263157894,1,9.105263157894736,5,32.94736842105263,5,17.31578947368421,10,6.157894736842105,2,1.894736842105263,17,11.157894736842104
2024,RS,11,92,3,101.15,2,87.5,6,0.5709046454767727,9,0.36622807017543857,14,0.7608695652173914,13,22.6,14,10.0,13,32.6,7,19.0,3,7.1,3,2.95,1,10.15,5,87.25,9,82.25,11,0.5595075239398085,10,0.3682092555331992,6,0.7679558011049724,10,23.3,6,10.45,11,33.75,7,17.8,3,5.65,7,2.1,1,13.75,15,85.4,14,80.8,11,0.5466101694915254,4,0.38064516129032255,12,0.7679012345679013,10,22.8,17,9.55,15,32.35,14,17.1,9,6.55,13,2.2,17,14.15,14,95.45,11,83.55,9,0.5487316421895861,7,0.3545816733067729,9,0.7758620689655172,5,22.4,14,11.3,10,33.7,13,19.2,17,7.3,16,3.1,8,12.35
2024,RS,11,93,11,90.85,11,82.8,8,0.5587828492392808,5,0.3745173745173745,15,0.7450980392156863,11,22.65,10,10.3,11,32.95,3,20.0,14,5.8,14,1.95,7,11.95,9,90.15,3,80.4,13,0.5676392572944297,2,0.3093812375249501,8,0.7735849056603774,6,22.75,15,11.5,12,34.25,4,16.9,14,7.0,12,2.5,12,12.15,9,91.5,12,82.6,10,0.5551075268817204,11,0.36217303822937624,7,0.7771739130434783,18,21.2,8,10.4,18,31.6,13,17.85,2,7.25,2,3.0,3,11.0,11,91.05,7,81.65,10,0.554531490015361,9,0.36589698046181174,15,0.7918918918918919,6,22.75,16,11.7,14,34.45,10,18.35,5,5.95,13,2.55,4,13.15
2024,RS,11,94,2,102.85,4,86.9,5,0.5834522111269614,6,0.37333333333333335,8,0.7738927738927739,16,22.05,7,10.95,10,33.0,1,21.4,6,6.8,8,2.3,5,11.85,6,87.9,5,80.85,12,0.562585969738652,11,0.3683168316831683,7,0.7724358974358975,3,21.9,8,10.55,3,32.45,15,19.6,12,6.4,1,1.75,2,13.25,14,86.8,17,78.5,14,0.5358090185676393,17,0.318359375,11,0.7690140845070422,4,24.25,3,12.35,1,36.6,15,16.5,18,5.05,3,2.95,10,12.1,8,88.25,5,80.85,2,0.5195822454308094,17,0.38104089219330856,17,0.7953667953667953,6,22.75,10,10.8,8,33.55,12,18.4,4,5.8,16,3.1,18,10.9
2024,RS,11,95,4,98.65,3,87.1,15,0.5322128851540616,2,0.39728682170542634,1,0.8398169336384439,9,22.85,18,9.45,16,32.3,12,17.95,4,6.85,17,1.5,7,11.95,10,90.5,15,85.25,15,0.5815899581589958,8,0.3570057581573896,18,0.8067010309278351,13,23.7,2,9.2,4,32.9,10,18.35,1,5.1,4,1.95,5,12.85,10,91.0,10,83.5,12,0.5455594002306805,14,0.33254716981132076,10,0.7698209718670077,15,22.1,2,12.65,7,34.75,10,18.3,12,5.95,16,1.65,12,12.7,16,101.95,17,89.05,18,0.6080729166666666,13,0.37358490566037733,4,0.7574850299401198,4,22.3,12,11.0,7,33.3,18,20.45,13,6.85,14,2.8,11,12.2
2024,RS,11,96,5,98.2,8,84.55,1,0.6059701492537314,13,0.34071550255536626,5,0.7859154929577464,1,26.95,16,9.65,1,36.6,4,19.2,15,5.75,6,2.9,15,13.15,1,82.55,4,80.7,1,0.5121621621621621,6,0.3505338078291815,14,0.7910447761194029,11,23.6,3,9.6,6,33.2,2,16.05,5,5.95,5,2.05,16,11.25,17,81.65,15,79.55,9,0.5566265060240964,18,0.3021276595744681,17,0.7325227963525835,3,24.4,6,11.0,5,35.4,5,19.1,12,5.95,8,2.3,18,15.7,18,108.85,18,91.45,16,0.5832187070151307,14,0.37372013651877134,13,0.784503631961259,17,24.55,7,10.5,16,35.05,17,20.3,18,9.05,18,3.2,8,12.35
2024,RS,11,97,7,95.75,9,83.6,3,0.5881578947368421,10,0.36324786324786323,3,0.7928994082840237,11,22.65,13,10.05,12,32.7,11,18.0,4,6.85,1,3.85,11,12.35,4,86.8,10,82.4,3,0.5221476510067115,18,0.38762886597938145,11,0.7786259541984732,1,20.5,13,11.15,2,31.65,9,18.2,5,5.95,9,2.2,7,12.55,13,87.05263157894737,7,85.15789473684211,16,0.5308641975308642,15,0.3292894280762565,13,0.7611111111111111,7,23.526315789473685,1,12.789473684210526,3,36.31578947368421,17,15.157894736842104,10,6.368421052631579,11,2.263157894736842,2,10.157894736842104,15,96.15789473684211,13,84.57894736842105,6,0.5441176470588235,4,0.3283898305084746,5,0.7627906976744186,18,26.842105263157894,17,12.421052631578947,18,39.26315789473684,6,17.68421052631579,2,5.105263157894737,15,3.0,6,12.842105263157896
2024,RS,11,98,18,76.95,18,76.75,17,0.5054773082942097,12,0.3447098976109215,18,0.7275064267352185,8,23.1,5,11.65,7,34.75,18,14.7,11,6.25,15,1.9,14,12.9,2,86.25,1,77.25,7,0.5463623395149786,1,0.3056179775280899,3,0.7510121457489879,16,24.5,5,9.85,13,34.35,3,16.2,9,6.15,7,2.1,13,12.1,1,106.05,1,87.7,2,0.5945205479452055,1,0.40160642570281124,16,0.7371134020618557,2,24.55,9,10.35,6,34.9,5,19.1,7,6.75,3,2.95,7,11.95,3,86.55,8,82.15,5,0.5428954423592494,15,0.37404580152671757,16,0.7928802588996764,2,21.2,4,9.8,1,31.0,14,19.25,15,7.2,5,2.05,15,11.45
2024,RS,11,99,8,91.7,6,85.6,4,0.58796992481203,8,0.3679092382495948,2,0.8383838383838383,14,22.15,10,10.3,14,32.45,8,18.9,8,6.65,18,1.25,16,13.5,17,102.95,16,88.2,17,0.5965834428383706,16,0.37714285714285717,2,0.7359550561797753,9,22.85,9,10.75,9,33.6,16,19.8,16,7.25,10,2.35,14,12.0,6,98.05,5,86.2,7,0.5653235653235653,3,0.3815261044176707,9,0.7702702702702703,6,24.05,14,10.0,9,34.05,2,20.75,1,7.85,8,2.3,6,11.9,12,91.25,12,84.25,14,0.5690834473324213,5,0.33643122676579923,10,0.7769423558897243,11,23.6,11,10.85,14,34.45,1,16.0,8,6.1,3,1.9,2,13.25
2024,RS,12,100,18,76.95,18,76.75,17,0.5054773082942097,12,0.3447098976109215,18,0.7275064267352185,8,23.1,5,11.65,7,34.75,18,14.7,11,6.25,15,1.9,14,12.9,2,86.25,1,77.25,7,0.5463623395149786,1,0.3056179775280899,3,0.7510121457489879,16,24.5,5,9.85,13,34.35,3,16.2,9,6.15,7,2.1,13,12.1,14,86.8,17,78.5,14,0.5358090185676393,17,0.318359375,11,0.7690140845070422,4,24.25,3,12.35,1,36.6,15,16.5,18,5.05,3,2.95,10,12.1,8,88.25,5,80.85,2,0.5195822454308094,17,0.38104089219330856,17,0.7953667953667953,6,22.75,10,10.8,8,33.55,12,18.4,4,5.8,16,3.1,18,10.9
2024,RS,12,101,17,81.65,15,79.55,9,0.5566265060240964,18,0.3021276595744681,17,0.7325227963525835,3,24.4,6,11.0,5,35.4,5,19.1,12,5.95,8,2.3,18,15.7,18,108.85,18,91.45,16,0.5832187070151307,14,0.37372013651877134,13,0.784503631961259,17,24.55,7,10.5,16,35.05,17,20.3,18,9.05,18,3.2,8,12.35,10,91.0,10,83.5,12,0.5455594002306805,14,0.33254716981132076,10,0.7698209718670077,15,22.1,2,12.65,7,34.75,10,18.3,12,5.95,16,1.65,12,12.7,16,101.95,17,89.05,18,0.6080729166666666,13,0.37358490566037733,4,0.7574850299401198,4,22.3,12,11.0,7,33.3,18,20.45,13,6.85,14,2.8,11,12.2
2024,RS,12,102,13,87.05263157894737,7,85.15789473684211,16,0.5308641975308642,15,0.3292894280762565,13,0.7611111111111111,7,23.526315789473685,1,12.789473684210526,3,36.31578947368421,17,15.157894736842104,10,6.368421052631579,11,2.263157894736842,2,10.157894736842104,15,96.15789473684211,13,84.57894736842105,6,0.5441176470588235,4,0.3283898305084746,5,0.7627906976744186,18,26.842105263157894,17,12.421052631578947,18,39.26315789473684,6,17.68421052631579,2,5.105263157894737,15,3.0,6,12.842105263157896,12,88.25,13,81.25,13,0.5431606905710491,16,0.3225152129817444,4,0.7913669064748201,17,21.65,12,10.2,17,31.85,9,18.7,15,5.75,7,2.5,4,11.5,13,94.7,14,85.05,8,0.5483028720626631,12,0.37265917602996257,1,0.7353760445682451,15,24.45,18,12.7,17,37.15,8,18.05,11,6.25,11,2.4,10,12.25
2024,RS,12,103,9,91.5,12,82.6,10,0.5551075268817204,11,0.36217303822937624,7,0.7771739130434783,18,21.2,8,10.4,18,31.6,13,17.85,2,7.25,2,3.0,3,11.0,11,91.05,7,81.65,10,0.554531490015361,9,0.36589698046181174,15,0.7918918918918919,6,22.75,16,11.7,14,34.45,10,18.35,5,5.95,13,2.55,4,13.15,2,102.85,4,86.9,5,0.5834522111269614,6,0.37333333333333335,8,0.7738927738927739,16,22.05,7,10.95,10,33.0,1,21.4,6,6.8,8,2.3,5,11.85,6,87.9,5,80.85,12,0.562585969738652,11,0.3683168316831683,7,0.7724358974358975,3,21.9,8,10.55,3,32.45,15,19.6,12,6.4,1,1.75,2,13.25
2024,RS,12,104,16,84.0,16,79.0,18,0.49612403100775193,7,0.37084870848708484,6,0.7818181818181819,5,24.105263157894736,4,11.736842105263158,4,35.8421052631579,16,16.0,17,5.7368421052631575,11,2.263157894736842,13,12.789473684210526,7,87.94736842105263,2,79.15789473684211,4,0.5425101214574899,3,0.32779097387173395,12,0.7835616438356164,14,23.842105263157894,1,9.105263157894736,5,32.94736842105263,5,17.31578947368421,10,6.157894736842105,2,1.894736842105263,17,11.157894736842104,4,98.65,3,87.1,15,0.5322128851540616,2,0.39728682170542634,1,0.8398169336384439,9,22.85,18,9.45,16,32.3,12,17.95,4,6.85,17,1.5,7,11.95,10,90.5,15,85.25,15,0.5815899581589958,8,0.3570057581573896,18,0.8067010309278351,13,23.7,2,9.2,4,32.9,10,18.35,1,5.1,4,1.95,5,12.85
2024,RS,12,105,11,90.85,11,82.8,8,0.5587828492392808,5,0.3745173745173745,15,0.7450980392156863,11,22.65,10,10.3,11,32.95,3,20.0,14,5.8,14,1.95,7,11.95,9,90.15,3,80.4,13,0.5676392572944297,2,0.3093812375249501,8,0.7735849056603774,6,22.75,15,11.5,12,34.25,4,16.9,14,7.0,12,2.5,12,12.15,8,91.7,6,85.6,4,0.58796992481203,8,0.3679092382495948,2,0.8383838383838383,14,22.15,10,10.3,14,32.45,8,18.9,8,6.65,18,1.25,16,13.5,17,102.95,16,88.2,17,0.5965834428383706,16,0.37714285714285717,2,0.7359550561797753,9,22.85,9,10.75,9,33.6,16,19.8,16,7.25,10,2.35,14,12.0
2024,RS,12,106,1,106.05,1,87.7,2,0.5945205479452055,1,0.40160642570281124,16,0.7371134020618557,2,24.55,9,10.35,6,34.9,5,19.1,7,6.75,3,2.95,7,11.95,3,86.55,8,82.15,5,0.5428954423592494,15,0.37404580152671757,16,0.7928802588996764,2,21.2,4,9.8,1,31.0,14,19.25,15,7.2,5,2.05,15,11.45,3,101.15,2,87.5,6,0.5709046454767727,9,0.36622807017543857,14,0.7608695652173914,13,22.6,14,10.0,13,32.6,7,19.0,3,7.1,3,2.95,1,10.15,5,87.25,9,82.25,11,0.5595075239398085,10,0.3682092555331992,6,0.7679558011049724,10,23.3,6,10.45,11,33.75,7,17.8,3,5.65,7,2.1,1,13.75
2024,RS,12,107,6,98.05,5,86.2,7,0.5653235653235653,3,0.3815261044176707,9,0.7702702702702703,6,24.05,14,10.0,9,34.05,2,20.75,1,7.85,8,2.3,6,11.9,12,91.25,12,84.25,14,0.5690834473324213,5,0.33643122676579923,10,0.7769423558897243,11,23.6,11,10.85,14,34.45,1,16.0,8,6.1,3,1.9,2,13.25,5,98.2,8,84.55,1,0.6059701492537314,13,0.34071550255536626,5,0.7859154929577464,1,26.95,16,9.65,1,36.6,4,19.2,15,5.75,6,2.9,15,13.15,1,82.55,4,80.7,1,0.5121621621621621,6,0.3505338078291815,14,0.7910447761194029,11,23.6,3,9.6,6,33.2,2,16.05,5,5.95,5,2.05,16,11.25
2024,RS,12,108,15,85.4,14,80.8,11,0.5466101694915254,4,0.38064516129032255,12,0.7679012345679013,10,22.8,17,9.55,15,32.35,14,17.1,9,6.55,13,2.2,17,14.15,14,95.45,11,83.55,9,0.5487316421895861,7,0.3545816733067729,9,0.7758620689655172,5,22.4,14,11.3,10,33.7,13,19.2,17,7.3,16,3.1,8,12.35,7,95.75,9,83.6,3,0.5881578947368421,10,0.36324786324786323,3,0.7928994082840237,11,22.65,13,10.05,12,32.7,11,18.0,4,6.85,1,3.85,11,12.35,4,86.8,10,82.4,3,0.5221476510067115,18,0.38762886597938145,11,0.7786259541984732,1,20.5,13,11.15,2,31.65,9,18.2,5,5.95,9,2.2,7,12.55
